valorsubv,media_ax,media_ay,media_az,max_ax,max_ay,max_az,min_ax,min_ay,min_az,q1_ax,q1_ay,q1_az,q2_ax,q2_ay,q2_az,q3_ax,q3_ay,q3_az,var_ax,var_ay,var_az,std_ax,std_ay,std_az,nivel_riesgo
1,0.068,0.00752,4.95494,0.623,0.094,10.249,0,0,0,0,0,0,0,0,7.9505,0,0,9.84625,0.03028796,0.00063593,22.9595783,0.174034364,0.025217645,4.791615416,0
2,0.5574,0.06172,10.07039,0.623,0.094,10.252,0.382,0.004,9.915,0.551,0.022,9.965,0.569,0.094,10.058,0.573,0.094,10.155,0.00182804,0.001187842,0.009286778,0.042755584,0.034465078,0.09636793,0
3,0.57327,0.13945,10.04166,0.754,0.38,10.153,0.359,0.022,10.01,0.394,0.093,10.01,0.609,0.094,10.056,0.669,0.214,10.058,0.016319577,0.007185908,0.000766944,0.1277481,0.084769732,0.027693761,0
4,0.61581,0.35689,10.1326,0.754,0.385,10.345,0.563,0.287,9.951,0.575,0.289,10.01,0.597,0.382,10.149,0.647,0.383,10.153,0.002942914,0.001747018,0.01498514,0.05424863,0.041797343,0.122413806,0
5,0.47406,0.37546,10.15719,0.573,0.388,10.514,0.383,0.287,9.974,0.431,0.382,10.01,0.479,0.383,10.105,0.489,0.383,10.346,0.002465136,0.000685388,0.031283714,0.04965014,0.026179924,0.176872027,0
6,0.46707,0.38908,10.04729,0.76,0.406,10.249,0.335,0.38,9.96,0.382,0.383,9.9615,0.479,0.385,9.962,0.527,0.394,10.105,0.009858025,6.51336E-05,0.012942946,0.099287588,0.008070539,0.113767069,0
7,0.4826,0.29342,9.90689,0.579,0.385,10.155,0.311,0.19,9.724,0.382,0.196,9.772,0.551,0.287,9.8905,0.576,0.377,9.986,0.00933086,0.006102444,0.014649738,0.096596377,0.078118139,0.121036102,0
8,0.37129,0.1454,10.02193,0.573,0.287,10.155,0.281,0,9.915,0.335,0.022,9.974,0.383,0.186,9.986,0.388,0.19075,10.061,0.002464366,0.00974896,0.003945705,0.04964238,0.098736822,0.062814848,0
9,0.4684,0.06086,10.10886,0.669,0.19,10.251,0.19,-0.012,9.951,0.38,0,9.968,0.454,0.046,10.153,0.573,0.144,10.156,0.0116053,0.00444318,0.00986384,0.107727898,0.066657186,0.099316869,0
10,0.51581,0.16281,9.99877,0.765,0.382,10.155,0.359,0.042,9.579,0.382,0.094,9.965,0.476,0.096,10.01,0.669,0.202,10.153,0.022341714,0.011470314,0.026112077,0.149471448,0.107099551,0.161592318,0
11,0.404,0.33051,10.03264,0.575,0.383,10.153,0.377,0.202,9.748,0.38,0.323,9.939,0.382,0.335,9.986,0.383,0.371,10.149,0.00352404,0.00268529,0.01007111,0.059363625,0.051819783,0.100354922,0
12,0.59147,0.32468,10.16252,0.763,0.406,10.346,0.385,0.19,9.986,0.573,0.192,10.152,0.575,0.382,10.152,0.671,0.406,10.16775,0.012897389,0.008552178,0.00657019,0.113566672,0.092477984,0.081056706,0
13,0.45509,0.33002,9.98092,0.623,0.573,10.153,0.383,0.19,9.773,0.3925,0.2005,9.866,0.431,0.38,9.962,0.479,0.394,10.149,0.004825902,0.01532906,0.018482214,0.069468712,0.12381058,0.135949305,0
14,0.33513,0.17532,9.8728,0.579,0.237,10.149,0.022,0.046,9.603,0.168,0.19,9.772,0.383,0.19,9.939,0.49625,0.1905,9.963,0.033490693,0.002074198,0.0204269,0.183004626,0.04554336,0.142922706,0
15,0.36855,0.0484,10.0496,0.573,0.19,10.346,0.022,-0.046,9.915,0.286,0,9.957,0.381,0.046,10.01,0.5495,0.072,10.107,0.031401228,0.0033917,0.0134762,0.177203915,0.058238304,0.116087036,0
16,0.5394,0.25112,10.03045,0.909,0.382,10.299,0.383,0.094,9.626,0.43,0.186,9.9725,0.483,0.2575,9.986,0.6695,0.284,10.058,0.02593,0.005247006,0.027080228,0.161027948,0.072436217,0.164560711,0
17,0.55134,0.59452,9.9745,0.579,0.765,10.201,0.394,0.19,9.772,0.569,0.385,9.951,0.573,0.672,9.96,0.575,0.765,9.96,0.002624064,0.03719955,0.00448181,0.051225622,0.192871848,0.066946322,0
18,0.53595,0.52786,10.14208,0.76,0.672,10.346,0.382,0.383,9.963,0.382,0.394,10.149,0.575,0.575,10.149,0.585,0.576,10.156,0.014337208,0.00948478,0.005321534,0.119738079,0.097389837,0.072948842,0
19,0.50136,0.3842,9.94095,0.671,0.43,10.059,0.371,0.359,9.676,0.388,0.382,9.962,0.431,0.382,9.963,0.597,0.38425,9.974,0.01267751,0.00005604,0.008221167,0.112594451,0.007485987,0.090670654,0
20,0.40106,0.31993,10.08051,0.763,0.43,10.297,0.263,0.19,9.867,0.382,0.238,9.962,0.383,0.359,10.153,0.43,0.406,10.156,0.008754056,0.008564285,0.01293381,0.093563115,0.092543423,0.113726909,0
21,0.34405,0.3609,10.01595,0.765,0.478,10.159,0.192,0.262,9.722,0.263,0.34075,9.974,0.2985,0.383,10.013,0.406,0.385,10.082,0.017596208,0.00299479,0.009678507,0.132650697,0.054724675,0.098379406,0
22,0.29288,0.5391,9.90842,0.382,0.575,10.01,0.19,0.394,9.585,0.214,0.478,9.866,0.298,0.573,9.96,0.359,0.573,9.963,0.004007626,0.00303025,0.009958124,0.06330581,0.055047707,0.099790398,0
23,0.61182,0.50384,10.16723,0.765,0.623,10.335,0.382,0.382,9.676,0.573,0.452,10.10525,0.623,0.527,10.155,0.669,0.575,10.333,0.007172448,0.005975354,0.033748237,0.084690304,0.077300417,0.183706933,0
24,0.34239,0.53064,10.07957,0.479,0.754,10.335,0.168,0.359,9.867,0.286,0.43,9.986,0.382,0.478,10.01,0.394,0.5945,10.149,0.006420278,0.01282863,0.019207265,0.080126637,0.113263544,0.138590278,0
25,0.29261,0.6594,10.06201,0.418,0.76,10.248,0.142,0.573,9.957,0.192,0.575,9.963,0.323,0.671,10.01,0.383,0.742,10.155,0.008724578,0.00463364,0.01067435,0.093405449,0.068070845,0.103316745,0
26,0.52443,0.67299,10.03954,0.765,0.765,10.357,0.382,0.573,9.866,0.478,0.575,9.948,0.573,0.671,9.962,0.573,0.765,10.155,0.008151405,0.00849467,0.023475468,0.090285132,0.092166534,0.153217063,0
27,0.50541,0.58531,10.04902,0.742,0.669,10.357,0.371,0.478,9.676,0.382,0.569,9.951,0.527,0.575,10.059,0.579,0.623,10.155,0.014517422,0.002009034,0.03562098,0.120488265,0.044822248,0.18873521,0
28,0.59826,0.40583,10.13897,0.766,0.525,10.532,0.371,0.359,9.582,0.385,0.385,9.93,0.646,0.388,10.0825,0.754,0.43,10.49,0.026327632,0.001253521,0.084199549,0.162257919,0.0354051,0.290171586,0
29,0.47053,0.32011,9.84614,0.573,0.385,9.968,0.286,0.193,9.582,0.388,0.26625,9.766,0.478,0.347,9.939,0.525,0.385,9.963,0.006176349,0.004321938,0.01638888,0.078589752,0.065741447,0.128019063,0
30,0.63072,0.28021,10.03232,0.671,0.43,10.351,0.573,0.094,9.585,0.611,0.19,9.962,0.623,0.24,9.986,0.669,0.38225,10.149,0.001177042,0.009543746,0.032044438,0.03430804,0.097692097,0.179009602,0
31,0.48373,0.51648,10.14953,0.597,0.575,10.345,0.377,0.388,9.915,0.388,0.43,9.99675,0.479,0.5615,10.155,0.56975,0.573,10.299,0.007046777,0.00467761,0.019491049,0.083945084,0.068393052,0.139610347,0
32,0.45625,0.47601,10.10631,0.621,0.621,10.249,0.377,0.382,9.766,0.382,0.383,9.986,0.388,0.406,10.155,0.573,0.573,10.249,0.008510948,0.00975943,0.016196314,0.092254797,0.098789827,0.127264739,0
33,0.43414,0.38473,9.80601,0.575,0.573,10.249,0.196,0.335,9.585,0.383,0.377,9.676,0.385,0.383,9.766,0.5565,0.385,9.772,0.0076504,0.001332337,0.03379745,0.087466567,0.036501193,0.183840828,0
34,0.37712,0.50881,9.96609,0.575,0.597,10.249,0.189,0.406,9.582,0.362,0.478,9.77,0.3825,0.527,9.966,0.383,0.563,10.156,0.012747966,0.003566914,0.033878962,0.112906889,0.059723646,0.184062386,0
35,0.44017,0.41126,9.73771,0.573,0.521,9.962,0.238,0.359,9.585,0.383,0.382,9.674,0.43,0.383,9.676,0.573,0.43,9.77,0.010888961,0.001647912,0.012099746,0.104350185,0.040594487,0.109998845,0
36,0.48036,0.48621,9.95756,0.754,0.719,10.008,0.382,0.38,9.864,0.383,0.383,9.957,0.43,0.478,9.968,0.573,0.575,9.977,0.01353103,0.008532686,0.001046666,0.116322957,0.092372539,0.032352224,0
37,0.52417,0.38317,9.9142,0.719,0.573,10.058,0.377,0.189,9.676,0.385,0.286,9.867,0.527,0.382,9.933,0.647,0.527,9.965,0.014657901,0.016783561,0.010282,0.121069819,0.129551384,0.101400197,0
38,0.55107,0.33003,10.07119,0.861,0.572,10.165,0.356,0.094,9.963,0.421,0.286,9.974,0.551,0.377,10.155,0.671,0.383,10.155,0.021483705,0.014079309,0.008027074,0.146573207,0.118656264,0.089593939,0
39,0.56265,0.33201,10.08894,0.719,0.525,10.155,0.382,0.094,9.845,0.572,0.286,10.107,0.573,0.383,10.143,0.623,0.383,10.155,0.009463108,0.00848979,0.009147296,0.097278505,0.092140056,0.095641499,0
40,0.4125,0.51505,9.93372,0.742,0.573,10.01,0.202,0.383,9.674,0.382,0.43,9.939,0.3825,0.569,9.962,0.478,0.573,10.01,0.01797875,0.004926828,0.006219862,0.134084861,0.070191363,0.078866099,0
41,0.59961,0.70675,9.95381,0.754,0.766,10.064,0.479,0.43,9.772,0.527,0.623,9.96,0.579,0.754,9.962,0.669,0.765,9.974,0.006452998,0.007521108,0.001967674,0.080330554,0.086724319,0.04435847,0
42,0.55574,0.63441,10.14338,0.695,0.765,10.514,0.377,0.478,9.96,0.467,0.501,10.01,0.573,0.671,10.0805,0.62,0.754,10.335,0.008077572,0.013857062,0.031712556,0.089875316,0.117716022,0.178080194,0
43,0.60175,0.53484,10.14534,0.765,0.671,10.345,0.382,0.43,10.01,0.385,0.525,10.01,0.742,0.551,10.153,0.742,0.569,10.156,0.028022568,0.003640674,0.011322324,0.167399425,0.060338001,0.106406411,0
44,0.49148,0.67331,10.02368,0.668,0.765,10.131,0.289,0.573,9.939,0.394,0.575,9.965,0.527,0.671,10.01,0.575,0.742,10.131,0.01323083,0.006083254,0.004684738,0.115025343,0.077995217,0.068445143,0
45,0.46447,0.58204,10.05288,0.768,0.765,10.165,0.359,0.394,9.776,0.382,0.478,9.968,0.478,0.575,10.131,0.525,0.671,10.153,0.010869689,0.011932218,0.017236346,0.104257801,0.109234694,0.131287264,0
46,0.43386,0.56017,9.94738,0.766,0.668,10.105,0.045,0.385,9.772,0.19,0.479,9.951,0.527,0.572,9.96,0.669,0.623,9.962,0.067379,0.005158561,0.008672776,0.259574653,0.071823124,0.093127738,0
47,0.40752,0.52708,9.80505,0.671,0.719,9.963,0.094,0.394,9.603,0.38,0.479,9.748,0.406,0.551,9.772,0.436,0.573,9.962,0.01664189,0.004791974,0.013133068,0.129003448,0.069224083,0.114599596,0
48,0.76068,0.68207,10.28384,0.813,0.742,10.543,0.671,0.551,9.963,0.742,0.659,10.165,0.771,0.719,10.287,0.813,0.719,10.34725,0.002687058,0.003427045,0.014785914,0.051836836,0.058540969,0.121597345,0
49,0.66332,0.4596,10.13955,0.768,0.563,10.249,0.454,0.287,9.974,0.575,0.394,10.059,0.719,0.478,10.149,0.742,0.503,10.228,0.011585178,0.0036407,0.005963148,0.107634463,0.060338213,0.077221419,0
50,0.43115,0.30536,9.93883,0.765,0.382,10.059,0,0.19,9.724,0.371,0.287,9.915,0.394,0.289,9.965,0.57,0.335,9.974,0.037135668,0.00202819,0.009947581,0.192706169,0.045035435,0.099737561,0
51,0.36162,0.34397,9.95714,0.573,0.383,10.08,0.096,0.192,9.866,0.18,0.323,9.939,0.377,0.364,9.951,0.478,0.382,9.965,0.027041356,0.002120329,0.00377948,0.16444256,0.046047031,0.061477479,0
52,0.51899,0.36105,9.90125,0.669,0.575,10.149,0.238,0.192,9.556,0.525,0.334,9.861,0.573,0.382,9.962,0.573,0.383,9.9635,0.01737283,0.006888308,0.016563048,0.131806031,0.082995828,0.128697504,0
53,0.51768,0.3731,9.93628,0.669,0.575,10.323,0.238,0.192,9.556,0.478,0.359,9.773,0.551,0.383,9.866,0.65,0.388,10.153,0.021995498,0.00456931,0.042283722,0.148308791,0.067596672,0.20563006,0
54,0.7095,0.55732,10.13461,0.771,0.575,10.442,0.576,0.479,9.867,0.669,0.563,10.011,0.742,0.563,10.146,0.766,0.573,10.155,0.00430569,0.000526898,0.018243438,0.065617757,0.02295425,0.135068271,0
55,0.50752,0.44476,10.14277,0.754,0.573,10.537,0.359,0.371,9.968,0.388,0.383,10.059,0.576,0.406,10.155,0.597,0.569,10.155,0.01119563,0.006184662,0.018248857,0.105809402,0.078642625,0.135088331,0
56,0.43113,0.45926,9.81164,0.576,0.563,10.155,0.238,0.383,9.556,0.371,0.403,9.58,0.406,0.478,9.939,0.569,0.479,9.965,0.014432553,0.003044092,0.03282313,0.120135561,0.055173294,0.18117155,0
57,0.64182,0.28576,9.99491,0.777,0.43,10.345,0.371,0.046,9.772,0.575,0.192,9.96,0.695,0.287,9.974,0.745,0.397,10.059,0.013136788,0.016380622,0.021923482,0.114615826,0.127986806,0.148065803,0
58,0.57879,0.22581,10.12307,0.861,0.335,10.348,0.311,0.192,9.677,0.39175,0.196,9.974,0.573,0.202,10.155,0.765,0.275,10.345,0.028969326,0.001482174,0.041535265,0.170203778,0.038499012,0.203802024,0
59,0.42396,0.1462,9.90372,0.766,0.359,10.156,0.18,0.01,9.483,0.202,0.094,9.748,0.365,0.18,9.906,0.575,0.196,10.153,0.044106358,0.00499622,0.039618222,0.210015139,0.070683944,0.199043266,0
60,0.54124,0.3696,10.04063,0.766,0.388,10.346,0.382,0.202,9.77,0.404,0.368,9.842,0.404,0.382,9.986,0.754,0.383,10.299,0.027722722,0.0010588,0.035593453,0.166501419,0.032539207,0.188662273,0
61,0.42726,0.36208,10.0204,0.572,0.383,10.153,0.335,0.24,9.962,0.382,0.371,9.96675,0.406,0.377,9.986,0.478,0.3805,10.059,0.004372332,0.001330654,0.00430266,0.066123615,0.036478125,0.065594664,0
62,0.51926,0.22432,9.98106,0.671,0.38,10.339,0.286,0.142,9.772,0.37775,0.192,9.951,0.573,0.202,9.963,0.669,0.24,9.968,0.018693872,0.002722558,0.007667996,0.136725537,0.052178133,0.087567097,0
63,0.55025,0.37639,10.13476,0.671,0.43,10.339,0.286,0.334,9.951,0.527,0.38,9.968,0.569,0.382,10.156,0.575,0.382,10.249,0.009172788,0.000285178,0.017471162,0.09577467,0.016887211,0.132178525,0
64,0.57268,0.43547,10.03397,0.765,0.573,10.153,0.371,0.359,9.957,0.478,0.383,9.968,0.575,0.385,9.968,0.579,0.492,10.153,0.009130218,0.005243369,0.007661649,0.095552172,0.072411112,0.087530847,0
65,0.47471,0.55097,9.96418,0.671,0.723,10.034,0.38,0.394,9.776,0.382,0.47875,9.957,0.394,0.489,9.9625,0.575,0.621,9.963,0.011042346,0.007411809,0.001214468,0.105082567,0.086091864,0.034849212,0
66,0.4716,0.47692,9.84241,0.771,0.573,9.962,0.371,0.382,9.722,0.394,0.43,9.776,0.43,0.478,9.82,0.483,0.489,9.939,0.01123326,0.002905174,0.006317122,0.105987075,0.053899662,0.079480324,0
67,0.56944,0.39041,9.78397,0.669,0.43,9.96,0.388,0.371,9.674,0.479,0.382,9.722,0.576,0.3865,9.82,0.669,0.388,9.82,0.009371486,0.000198982,0.005433809,0.096806438,0.014106094,0.073714375,0
68,0.554,0.47366,9.9782,0.669,0.742,10.152,0.454,0.385,9.891,0.483,0.4015,9.915,0.575,0.479,9.96,0.579,0.551,10.0395,0.00400624,0.008631444,0.00627012,0.063294866,0.092905567,0.079184089,0
69,0.46873,0.37923,9.89762,0.668,0.476,10.059,0.335,0.24,9.76,0.394,0.371,9.77,0.454,0.382,9.939,0.563,0.394,9.96,0.007818457,0.002691037,0.009295656,0.08842204,0.051875207,0.09641398,0
70,0.57186,0.33636,10.11569,0.742,0.406,10.343,0.479,0.192,9.867,0.527,0.286,9.96225,0.527,0.377,10.061,0.671,0.382,10.252,0.00657066,0.00489037,0.025306374,0.08105961,0.069931183,0.159079772,0
71,0.51621,0.28957,10.02377,0.68,0.383,10.346,0.286,0.192,9.939,0.478,0.193,9.962,0.479,0.24,9.963,0.575,0.382,10.153,0.007866486,0.008233785,0.013673337,0.088693212,0.090740207,0.116933045,0
72,0.59601,0.3717,10.04574,0.765,0.43,10.156,0.286,0.286,9.963,0.406,0.382,9.986,0.623,0.382,10.058,0.72775,0.382,10.143,0.02013131,0.00096589,0.005171112,0.141884847,0.031078771,0.071910447,0
73,0.69095,0.33837,10.1114,0.763,0.394,10.335,0.621,0.238,9.867,0.623,0.286,9.965,0.719,0.382,10.177,0.754,0.383,10.203,0.002956688,0.002349513,0.0167287,0.054375431,0.048471776,0.129339476,0
74,0.41849,0.37197,9.94241,0.742,0.43,10.201,0.192,0.286,9.626,0.238,0.38,9.867,0.406,0.382,9.915,0.5045,0.382,10.155,0.02962575,0.001078089,0.042906062,0.172121323,0.032834267,0.207137785,0
75,0.59868,0.37279,9.92346,0.765,0.43,10.153,0.371,0.286,9.626,0.479,0.377,9.769,0.669,0.382,9.939,0.742,0.382,10.02675,0.018796878,0.001186306,0.027430388,0.137101705,0.034442792,0.16562122,0
76,0.49041,0.28999,10.09292,0.765,0.388,10.393,0.382,0.168,9.957,0.388,0.196,9.963,0.473,0.2865,10.058,0.551,0.37825,10.152,0.011042382,0.00682863,0.021832134,0.105082738,0.082635524,0.147757009,0
77,0.49432,0.14851,9.88288,0.765,0.38,10.155,0.335,0,9.556,0.38425,0.046,9.736,0.388,0.0935,9.962,0.575,0.238,10.01,0.022338418,0.01512757,0.034106066,0.149460422,0.122994186,0.184678276,0
78,0.54336,0.16498,10.00684,0.766,0.286,10.155,0.382,0.084,9.866,0.43,0.094,9.96,0.551,0.17,9.986,0.671,0.19,10.059,0.01625611,0.00379564,0.006416074,0.127499453,0.061608762,0.080100402,0
79,0.46163,0.04893,9.93037,0.719,0.186,10.059,0.094,-0.006,9.77,0.371,-0.001,9.818,0.383,0.01,9.962,0.669,0.0945,9.968,0.030584153,0.003025545,0.006942333,0.174883256,0.055004955,0.083320664,0
80,0.46911,0.11776,9.96604,0.573,0.286,10.165,0.38,0.022,9.77,0.38275,0.0885,9.794,0.442,0.094,10.01,0.573,0.144,10.058,0.007812218,0.002813462,0.014705618,0.088386752,0.053042081,0.121266724,0
81,0.37761,0.10221,9.91458,0.576,0.286,10.155,0.287,-0.001,9.579,0.377,0.072,9.794,0.38,0.094,9.965,0.383,0.096,10.007,0.003044958,0.004121206,0.024143284,0.055181137,0.064196619,0.155381092,0
82,0.4477,0.04412,10.03711,0.576,0.142,10.345,0.38,-0.001,9.867,0.382,0.022,9.963,0.395,0.042,9.965,0.525,0.0765,10.1455,0.00476227,0.001225906,0.015462398,0.069009202,0.035012935,0.124347891,0
83,0.57992,0.15626,9.97925,0.742,0.214,10.073,0.359,0.01,9.769,0.573,0.162,9.962,0.585,0.19,9.963,0.671,0.192,9.963,0.012785594,0.003940872,0.001909408,0.113073399,0.062776368,0.043696768,0
84,0.52301,0.2758,9.97312,0.6,0.388,10.299,0.192,0.186,9.626,0.569,0.1915,9.867,0.573,0.25,9.962,0.575,0.383,10.152,0.01003033,0.00696882,0.034194306,0.100151535,0.083479459,0.184917024,0
85,0.59604,0.12902,10.0427,0.772,0.202,10.335,0.479,0.046,9.915,0.572,0.09,9.957,0.575,0.118,10.053,0.621,0.19,10.059,0.003709078,0.00260204,0.01344993,0.060902204,0.051010191,0.115973833,0
86,0.40149,0.08904,10.05957,0.573,0.168,10.249,0.284,0.018,9.867,0.377,0.07,9.939,0.38,0.094,10.082,0.43,0.094,10.155,0.00346701,0.001204358,0.011659025,0.05888132,0.034703867,0.107976966,0
87,0.56312,0.19268,10.07316,0.765,0.359,10.323,0.388,0.094,9.962,0.43,0.168,9.963,0.576,0.19,10.01,0.669,0.192,10.155,0.012102766,0.005046418,0.015126974,0.11001257,0.071038142,0.122991766,0
88,0.58956,0.27786,10.02556,0.742,0.371,10.152,0.383,0.192,9.957,0.573,0.274,10.008,0.576,0.286,10.01,0.669,0.287,10.058,0.007105906,0.00163876,0.003293826,0.084296538,0.040481606,0.057391867,0
89,0.50678,0.24068,9.96365,0.719,0.377,10.153,0.383,0.18,9.866,0.43,0.189,9.957,0.527,0.1925,9.974,0.579,0.29675,9.974,0.007562592,0.005323858,0.004858787,0.086963162,0.07296477,0.069705003,0
90,0.40618,0.25119,10.1007,0.525,0.31,10.346,0.196,0.193,9.866,0.39125,0.2005,9.96525,0.406,0.269,10.155,0.442,0.286,10.165,0.005714948,0.001477834,0.01278477,0.075597272,0.038442605,0.113069757,0
91,0.46505,0.21289,10.0638,0.575,0.287,10.335,0.371,0.144,9.818,0.385,0.186,9.963,0.43,0.19,9.965,0.551,0.275,10.203,0.006232668,0.001891738,0.02139056,0.078947245,0.043494113,0.14625512,0
92,0.56558,0.16001,9.98918,0.719,0.287,10.251,0.382,0.09,9.867,0.478,0.094,9.962,0.573,0.18,9.965,0.671,0.19,9.986,0.010914684,0.00314653,0.003850308,0.104473363,0.056093938,0.062050847,0
93,0.56143,0.21373,10.09006,0.671,0.287,10.335,0.382,0.18,9.82,0.551,0.186,9.96,0.573,0.192,9.986,0.573,0.22925,10.251,0.004476005,0.001591717,0.029211556,0.066902953,0.039896329,0.170913886,0
94,0.51605,0.24244,9.96561,0.576,0.335,10.159,0.383,0.142,9.915,0.478,0.2005,9.939,0.527,0.239,9.939,0.573,0.286,9.974,0.003951288,0.001869686,0.002736438,0.062859267,0.04323987,0.052310973,0
95,0.56115,0.21123,10.12247,0.766,0.38,10.297,0.371,0.094,9.965,0.524,0.186,10.058,0.573,0.19,10.152,0.671,0.274,10.155,0.012671428,0.003370357,0.007845109,0.112567435,0.058054777,0.08857262,0
96,0.61471,0.26431,9.96293,0.768,0.383,10.156,0.479,0.19,9.772,0.551,0.195,9.82,0.597,0.238,10.059,0.663,0.341,10.059,0.006040646,0.004927974,0.014079905,0.077721592,0.070199529,0.118658776,0
97,0.48312,0.21985,9.86891,0.575,0.287,10.105,0.238,0.168,9.776,0.385,0.19,9.776,0.527,0.192,9.82,0.573,0.281,9.915,0.012194766,0.002083288,0.008626502,0.110429913,0.045643044,0.092878964,0
98,0.43519,0.23818,10.00962,0.575,0.377,10.105,0.286,0.168,9.951,0.388,0.193,9.963,0.388,0.214,9.986,0.527,0.286,10.105,0.006144694,0.002460308,0.004044976,0.078388098,0.049601488,0.063600123,0
99,0.44002,0.17007,10.0022,0.597,0.286,10.143,0.287,0.046,9.939,0.382,0.118,9.963,0.43,0.192,9.968,0.479,0.214,10.058,0.0066048,0.003507185,0.002277,0.081269918,0.059221492,0.047717921,0
100,0.61846,0.20762,10.03162,0.719,0.359,10.346,0.483,0.094,9.963,0.573,0.168,9.974,0.597,0.192,9.98,0.671,0.238,10.01,0.002788548,0.002634316,0.015720656,0.052806708,0.051325584,0.125382039,0
101,0.50341,0.17192,9.89114,0.765,0.286,9.968,0.383,0.01,9.773,0.479,0.096,9.866,0.479,0.192,9.867,0.573,0.214,9.957,0.011053522,0.004065394,0.00271298,0.105135731,0.063760439,0.052086278,0
102,0.55781,0.1855,10.02176,0.766,0.287,10.34,0.335,0.046,9.674,0.572,0.106,9.962,0.5755,0.19,10.058,0.585,0.238,10.105,0.013601974,0.00573277,0.013295022,0.116627501,0.075715058,0.115304043,0
103,0.43525,0.32991,9.90379,0.765,0.382,10.203,0.189,0.19,9.772,0.371,0.335,9.866,0.388,0.358,9.867,0.521,0.359,9.951,0.019570328,0.002920062,0.009344326,0.139893987,0.054037597,0.096666054,0
104,0.45819,0.22198,10.02296,0.521,0.335,10.351,0.371,0.144,9.776,0.45475,0.192,9.957,0.479,0.214,9.974,0.479,0.238,9.974,0.001912354,0.00144742,0.035516778,0.043730469,0.038044968,0.188458957,0
105,0.50943,0.30215,9.99491,0.717,0.382,10.155,0.382,0.238,9.915,0.43,0.286,9.951,0.572,0.287,9.962,0.573,0.335,10.01,0.007603885,0.001507188,0.005867122,0.087200259,0.038822513,0.07659714,0
106,0.52948,0.32093,10.05258,0.585,0.406,10.323,0.406,0.19,9.776,0.406,0.286,9.864,0.572,0.353,10.082,0.575,0.382,10.159,0.00537621,0.005217825,0.034882424,0.07332264,0.072234515,0.186768369,0
107,0.45045,0.3304,9.98976,0.695,0.385,10.155,0.096,0.202,9.582,0.382,0.286,9.962,0.382,0.37,9.962,0.668,0.382,10.061,0.031785808,0.00362378,0.014596482,0.178285747,0.06019784,0.120815903,0
108,0.4514,0.23682,9.95423,0.659,0.371,10.447,0.096,0.19,9.582,0.382,0.19,9.867,0.394,0.22,9.962,0.573,0.263,10.105,0.01545468,0.002806988,0.039787657,0.124316853,0.052981012,0.199468436,0
109,0.61149,0.27271,10.01464,0.765,0.371,10.369,0.478,0.192,9.772,0.569,0.281,9.915,0.575,0.286,9.965,0.742,0.287,10.059,0.00979377,0.001790046,0.02768991,0.098963478,0.042308934,0.166402856,0
110,0.58665,0.32771,10.13647,0.768,0.382,10.441,0.286,0.18,9.963,0.563,0.287,9.968,0.573,0.377,10.152,0.742,0.382,10.159,0.018790228,0.004212006,0.023137789,0.137077451,0.064899968,0.152111108,0
111,0.43626,0.36515,9.94212,0.573,0.388,9.974,0.383,0.238,9.77,0.385,0.362,9.963,0.406,0.382,9.963,0.44225,0.382,9.968,0.005885032,0.000954187,0.003909826,0.076713965,0.030889926,0.062528598,0
112,0.54315,0.28817,9.93813,0.671,0.38,10.129,0.388,0.238,9.77,0.476,0.263,9.903,0.563,0.286,9.9455,0.575,0.286,9.974,0.008646507,0.001582541,0.007815133,0.092986598,0.039781165,0.088403241,0
113,0.43501,0.25005,10.08154,0.768,0.383,10.165,0.189,0.097,9.939,0.335,0.166,10.058,0.4475,0.238,10.059,0.478,0.371,10.129,0.02119507,0.009902028,0.003117848,0.145585267,0.099508932,0.055837697,0
114,0.603,0.37351,9.92675,0.765,0.483,10.249,0.286,0.334,9.773,0.383,0.359,9.867,0.719,0.371,9.939,0.742,0.383,9.963,0.02736834,0.00055323,0.005249387,0.165433793,0.02352084,0.072452657,0
115,0.4405,0.30962,10.01907,0.575,0.377,10.153,0.371,0.192,9.842,0.382,0.214,9.963,0.388,0.335,10.011,0.573,0.371,10.058,0.00692379,0.004227016,0.004022345,0.083209314,0.065015503,0.063421961,0
116,0.53751,0.31489,10.06331,0.671,0.383,10.227,0.371,0.19,9.96,0.51475,0.275,9.962,0.569,0.335,10.053,0.573,0.382,10.156,0.00596413,0.005156698,0.008985914,0.077227779,0.071810152,0.09479406,0
117,0.44649,0.28221,9.9926,0.669,0.383,10.156,0.371,0.144,9.77,0.383,0.211,9.915,0.3855,0.286,9.939,0.527,0.377,10.153,0.01081615,0.005593426,0.0191411,0.104000721,0.07478921,0.138351364,0
118,0.38512,0.25865,9.89364,0.573,0.388,10.153,0.238,0.186,9.579,0.382,0.192,9.891,0.385,0.214,9.915,0.385,0.34325,9.962,0.000582606,0.006059708,0.01354061,0.024137224,0.077844123,0.116364128,0
119,0.39339,0.31857,9.94622,0.527,0.478,10.153,0.238,-0.019,9.676,0.37925,0.2745,9.909,0.382,0.3755,9.939,0.394,0.388,10.058,0.004997078,0.011839145,0.020755532,0.070690013,0.108807836,0.144067802,0
120,0.38721,0.05968,9.98299,0.575,0.382,10.177,0.192,-0.181,9.867,0.286,-0.096,9.915,0.38,0.011,9.963,0.483,0.19,9.968,0.014948686,0.033318418,0.00958003,0.122264819,0.182533333,0.097877627,0
